2018-11-29 15:41:28,566 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-01-24 12:28:22,554 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-01-24 12:28:29,594 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: bigdata:TPSpark:0.0.1 @ /autofs/unitytravail/travail/mduverneix/spark_maven/pom.xml.
2019-01-24 12:28:29,594 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: bigdata:TPSpark:0.0.1 @ /autofs/unitytravail/travail/mduverneix/spark_maven/pom.xml.
2019-01-24 12:28:32,703 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-24 12:28:32,706 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/unitytravail/travail/mduverneix/spark_maven/src/main/resources
2019-01-24 12:28:32,709 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-24 12:28:32,711 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/unitytravail/travail/mduverneix/spark_maven/src/test/resources
2019-01-24 12:28:34,616 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: bigdata:TPSpark:0.0.1 @ /autofs/unitytravail/travail/mduverneix/spark_maven/pom.xml.
2019-01-24 12:28:35,387 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-24 12:28:35,389 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /autofs/unitytravail/travail/mduverneix/spark_maven/src/main/resources
